Aleshane,Premium,Sap Hearts,Marauder,Elfine,2020_06_12~155~0~5~0~6~0~8~0~1stA~1~2~0~0~1stBS~yes#f#f#0#0#f#1#Backstab#150#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndBS~yes#f#f#0#0#f#1#Thorn#100#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~3rdBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~2ndA~3~0~0~0~1stMS~yes#f#f#0#0#f#1#Strength +#80#0#0#0#Attacker#120#[VAL] if atk#Changeable#0#0#0#0#0#~2ndMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdA~1~1~0~0~1stTS~yes#f#f#0#0#f#4#Physical Attack#0#0#0#0#No Add Effect#0#[VAL] if atk#Changeable#0#0#0#0#0#~2ndTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~1~0~0~0~0~0~0~0~4~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~damaging#buffing#damaging#damaging#damaging#damaging#DejaPAing#damaging#damaging#~,Backstab,Thorn,None,+STR,None,None,Physical Attack,None,None,Attacker,n,n,nada,nada,nada
Aleshane EV,Evolution,Sap Hearts,Marauder,Elfine,2020_06_12~175~0~5~0~6~0~8~0~1stA~1~2~0~0~1stBS~yes#f#f#0#0#f#3#Backstab#500#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndBS~yes#f#f#0#0#f#1#Critical#3#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~3rdBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~2ndA~1~0~0~0~1stMS~yes#f#f#0#0#f#1#Strength +#150#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndMS~yes#f#f#0#0#f#1#Physical Attack#0#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~3rdMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdA~1~3~0~0~1stTS~yes#f#f#0#0#f#4#Physical Attack#0#0#0#0#Attacker#6#[VAL] if atk#Changeable#0#0#0#0#0#~2ndTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~1~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~damaging#buffing#damaging#damaging#DejaPAing#damaging#DejaPAing#damaging#damaging#~,Backstab,Critical,None,+STR,Physical Attack,None,Physical Attack,None,None,Attacker,n,n,nada,nada,nada
Andria,Exclusive,Sap Hearts,Marauder,Elfine,2020_06_12~150~0~5~0~6~0~8~0~1stA~1~0~0~0~1stBS~yes#f#f#0#0#f#1#Thorn#1#0#0#0#Bonus/Malus#0#[VAL] x#Strength#0#0#0#0#0#~2ndBS~yes#f#f#0#0#f#1#Strength +#30#0#0#0#No Add Effect#0#[VAL] x#Strength#0#0#0#0#0#~3rdBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~2ndA~1~2~0~0~1stMS~yes#f#f#0#0#f#7#Physical Attack#0#0#0#0#No Add Effect#0#[VAL] x#Strength#0#0#0#0#0#~2ndMS~yes#f#f#0#0#f#1#Dodge#1#0#0#0#No Add Effect#0#[VAL] x#Strength#0#0#0#0#0#~3rdMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdA~1~3~0~0~1stTS~yes#f#f#0#0#f#1#Backstab#2#0#0#0#Bonus/Malus#0#[VAL] x#Thorn#0#0#0#0#0#~2ndTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~1~0~0~0~0~0~0~0~3~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~buffing#damaging#damaging#DejaPAing#buffing#damaging#damaging#damaging#damaging#~,Thorn,+STR,None,Physical Attack,Dodge,None,Backstab,None,None,per Bonus/Malus,n,n,nada,nada,nada
Apagori,Premium,Sap Hearts,Warrior,Homchai,2020_06_12~120~0~9~0~8~0~8~0~1stA~1~2~0~0~1stBS~yes#t#f#0#0#f#1#Shield#250#0#0#0#if#500#Changeable#Homchai#0#0#0#0#0#~2ndBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~2ndA~1~1~0~0~1stMS~yes#f#f#0#0#f#1#Shield Bash#800#0#0#2#No Add Effect#0#[VAL] x#Berserk#0#0#0#0#0#~2ndMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdA~3~0~0~0~1stTS~yes#f#f#0#0#f#1#Strength +#250#0#0#0#No Add Effect#0#[VAL] x#Berserk#0#0#0#0#0#~2ndTS~yes#f#f#0#0#f#7#Dice Change#0#0#3#0#No Add Effect#0#[VAL] x#Berserk#0#0#0#0#0#~3rdTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~1~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~buffing#damaging#damaging#damaging#damaging#damaging#damaging#dicing#damaging#~,Shield,None,None,Shield Bash,None,None,+STR,DC,None,+ if,n,n,nada,nada,nada
Arakna,Basic,Sap Hearts,Mage,Undead,2020_06_12~110~0~13~0~5~0~8~0~1stA~1~2~0~0~1stBS~yes#f#f#0#0#f#1#Shock#500#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndBS~yes#f#f#0#0#f#1#Dodge#1#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~3rdBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~2ndA~1~0~0~0~1stMS~yes#f#f#0#0#f#1#Hit#180#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndMS~yes#t#f#35#0#f#1#+DMG#30#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~3rdMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdA~3~0~0~0~1stTS~yes#f#f#0#0#f#2#Life Drain#100#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~1~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~damaging#buffing#damaging#damaging#buffing#damaging#damaging#damaging#damaging#~,Shock,Dodge,None,Hit,+DMG,None,Life Drain,None,None,n,n,n,nada,nada,nada
Baligu'Diga,Exclusive,Sap Hearts,Marauder,Undead,2020_06_12~150~0~13~0~0~0~8~0~1stA~1~1~2~0~1stBS~yes#f#f#0#0#f#1#Life Drain#1500#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndBS~yes#f#f#0#0#f#1#Dodge#2#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~3rdBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~2ndA~1~0~0~0~1stMS~yes#f#f#0#0#f#1#Strength Drain#60#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndMS~yes#f#f#0#0#f#1#Rage#30#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~3rdMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdA~3~0~0~0~1stTS~yes#f#f#0#0#f#1#Shock#20#0#0#0#Bonus/Malus#0#[VAL] x#Rage#0#0#0#0#0#~2ndTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~1~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~damaging#buffing#damaging#damaging#buffing#damaging#damaging#damaging#damaging#~,Life Drain,Dodge,None,Strength Drain,Rage,None,Shock,None,None,per Bonus/Malus,n,n,nada,nada,nada
Bearcupine,Premium,Sap Hearts,Warrior,Beast,2020_06_12~130~0~1~0~8~0~8~0~1stA~1~1~0~0~1stBS~yes#f#f#0#0#f#1#Hit#1400#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndBS~yes#f#f#0#0#f#1#Strength +#200#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~3rdBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~2ndA~3~0~0~0~1stMS~yes#f#f#0#0#f#1#Hit#2#0#0#0#Bonus/Malus#0#[VAL] x#Strength#0#0#0#0#0#~2ndMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdA~1~2~0~0~1stTS~yes#f#f#0#0#f#1#Thorn#750#0#0#0#No Add Effect#0#[VAL] x#Strength#0#0#0#0#0#~2ndTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~1~0~0~0~0~0~0~0~0~4~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~damaging#damaging#damaging#damaging#damaging#damaging#buffing#damaging#damaging#~,Hit,+STR,None,Hit,DC,None,Thorn,None,None,n,n,n,nada,nada,nada
Belladone,Premium,Sap Hearts,Warrior,Elfine,2020_06_12~130~0~5~0~8~0~8~0~1stA~2~0~0~0~1stBS~yes#f#f#0#0#f#1#Thorn#250#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndBS~yes#f#f#0#0#f#1#Critical#3#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~3rdBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~2ndA~3~0~0~0~1stMS~yes#t#f#9#0#f#1#+DMG#50#0#0#0#if#80#[VAL] x#Elfine#0#0#0#0#0#~2ndMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdA~1~1~0~0~1stTS~yes#f#f#0#0#f#7#Physical Attack#0#0#0#0#No Add Effect#0#[VAL] x#Berserk#0#0#0#0#0#~2ndTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~1~0~0~0~0~0~0~0~4~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~buffing#buffing#damaging#buffing#damaging#damaging#DejaPAing#damaging#damaging#~,Thorn,Critical,None,+DMG,None,None,Physical Attack,None,None,+ if,n,n,nada,nada,nada
Beltania,Exclusive,Sap Hearts,Mage,Dais,2020_06_12~100~0~2~0~5~0~8~0~1stA~3~0~0~0~1stBS~yes#f#f#0#0#f#1#Heal#600#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndBS~yes#f#f#0#0#f#1#Thorn#150#0#0#0#Attacker#0#only if atk#Changeable#0#0#0#0#0#~3rdBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~2ndA~1~1~0~0~1stMS~yes#f#f#0#0#f#1#Spellbreaker#850#0#0#0#No Add Effect#0#only if atk#Changeable#0#0#0#0#0#~2ndMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdA~1~2~0~0~1stTS~yes#f#f#0#0#f#1#Thorn#300#0#0#0#No Add Effect#0#only if atk#Changeable#0#0#0#0#0#~2ndTS~yes#f#f#0#0#f#1#Heal#600#0#0#0#Defender#0#only if dfd#Changeable#0#0#0#0#0#~3rdTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~1~0~0~0~0~0~0~0~2~0~3~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~damaging#buffing#damaging#damaging#damaging#damaging#buffing#damaging#damaging#~,Heal,Thorn,None,Spellbreaker,None,None,Thorn,Heal,None,Attacker,Defender,n,nada,nada,nada
Bulu'Baga,Exclusive,Sap Hearts,Mage,Undead,2020_06_12~100~0~13~0~5~0~8~0~1stA~1~3~0~0~1stBS~yes#f#f#0#0#f#4#Fireball#150#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdBS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~2ndA~1~0~0~0~1stMS~yes#f#f#0#0#f#1#Strength Drain#50#0#0#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~2ndMS~yes#f#f#0#0#f#1#Dice Change#0#0#3#0#No Add Effect#0#Changeable#Changeable#0#0#0#0#0#~3rdMS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdA~2~2~0~0~1stTS~yes#f#f#0#0#f#1#Life Drain#6#0#0#0#Bonus/Malus#0#[VAL] x#Strength#0#0#0#0#0#~2ndTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~3rdTS~not#f#f#0#0#f#1#Backstab#0#0#0#0#No Add Effect#0#0#0#0#0#0#0#0#~1~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~0~damaging#damaging#damaging#damaging#dicing#damaging#damaging#damaging#damaging#~,Fireball,None,None,Strength Drain,DC,None,Life Drain,None,None,per Bonus/Malus,n,n,nada,nada,nada
